"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 12 13:14:55 GMT 2023","Wed Apr 12 13:15:00 GMT 2023","5859","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezés megfelelő adatokkal","Regisztrációnál létrehozott felhasználóval bejelentkezés"
"broken","Wed Apr 12 13:15:15 GMT 2023","Wed Apr 12 13:15:20 GMT 2023","5912","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Wed Apr 12 13:19:03 GMT 2023","Wed Apr 12 13:19:09 GMT 2023","5961","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Kijelentkezés",""
"broken","Wed Apr 12 13:15:22 GMT 2023","Wed Apr 12 13:15:31 GMT 2023","9098","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Cikk létrehozása",""
"passed","Wed Apr 12 13:14:46 GMT 2023","Wed Apr 12 13:14:53 GMT 2023","7619","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Regisztráció megfelelő adatokkal","Regisztrációhoz szükséges adatokat az adatok.py fájlból származnak."
"passed","Wed Apr 12 13:18:41 GMT 2023","Wed Apr 12 13:19:01 GMT 2023","20318","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (többszöri regisztráció)",""
"passed","Wed Apr 12 13:14:39 GMT 2023","Wed Apr 12 13:14:44 GMT 2023","5199","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Adatkezelés elfogadása","Sütik elfogadása"
"passed","Wed Apr 12 13:16:03 GMT 2023","Wed Apr 12 13:18:40 GMT 2023","156450","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezést követően az első oldalon lévő cikkek szerzőinek a kigyűjtése csv fájlba",""
"broken","Wed Apr 12 13:15:32 GMT 2023","Wed Apr 12 13:15:41 GMT 2023","9091","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk címének módosítása",""
"broken","Wed Apr 12 13:15:43 GMT 2023","Wed Apr 12 13:15:52 GMT 2023","9101","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk hozzászólása",""
"passed","Wed Apr 12 13:15:02 GMT 2023","Wed Apr 12 13:15:13 GMT 2023","11542","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Egyik felhasználó cikkeinek kilistázása/lista bejárása",""
"broken","Wed Apr 12 13:15:53 GMT 2023","Wed Apr 12 13:16:02 GMT 2023","9089","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk törlése",""
