"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 16:35:51 GMT 2023","Thu Apr 06 16:35:52 GMT 2023","923","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_login",""
"passed","Thu Apr 06 16:35:47 GMT 2023","Thu Apr 06 16:35:49 GMT 2023","2826","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 06 16:35:55 GMT 2023","Thu Apr 06 16:35:56 GMT 2023","961","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_multi_page_list",""
"passed","Thu Apr 06 16:35:45 GMT 2023","Thu Apr 06 16:35:45 GMT 2023","214","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_accept_cookie",""
"broken","Thu Apr 06 16:35:53 GMT 2023","Thu Apr 06 16:35:54 GMT 2023","961","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_data_listing",""
