"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 16:30:17 GMT 2023","Thu Apr 06 16:30:17 GMT 2023","72","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_accept_cookie",""
"passed","Thu Apr 06 16:30:18 GMT 2023","Thu Apr 06 16:30:21 GMT 2023","2467","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 06 16:30:22 GMT 2023","Thu Apr 06 16:30:23 GMT 2023","856","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_login",""
"passed","Thu Apr 06 16:30:26 GMT 2023","Thu Apr 06 16:30:37 GMT 2023","11099","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_multi_page_list",""
"broken","Thu Apr 06 16:30:24 GMT 2023","Thu Apr 06 16:30:25 GMT 2023","838","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_data_listing",""
