"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 16:22:00 GMT 2023","Thu Apr 06 16:22:02 GMT 2023","2580","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 06 16:21:58 GMT 2023","Thu Apr 06 16:21:58 GMT 2023","71","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_accept_cookie",""
"passed","Thu Apr 06 16:22:04 GMT 2023","Thu Apr 06 16:22:05 GMT 2023","935","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_login",""
"passed","Thu Apr 06 16:22:09 GMT 2023","Thu Apr 06 16:22:09 GMT 2023","940","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_multi_page_list",""
"broken","Thu Apr 06 16:22:06 GMT 2023","Thu Apr 06 16:22:07 GMT 2023","970","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_data_listing",""
