"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 16:16:12 GMT 2023","Thu Apr 06 16:16:14 GMT 2023","2684","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 06 16:16:10 GMT 2023","Thu Apr 06 16:16:11 GMT 2023","186","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_accept_cookie",""
"passed","Thu Apr 06 16:16:20 GMT 2023","Thu Apr 06 16:16:31 GMT 2023","11077","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_multi_page_list",""
"broken","Thu Apr 06 16:16:18 GMT 2023","Thu Apr 06 16:16:19 GMT 2023","1240","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_data_listing",""
"passed","Thu Apr 06 16:16:16 GMT 2023","Thu Apr 06 16:16:17 GMT 2023","858","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_login",""
