"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 17:07:35 GMT 2023","Thu Apr 06 17:07:38 GMT 2023","3370","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 06 17:07:33 GMT 2023","Thu Apr 06 17:07:33 GMT 2023","367","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_accept_cookie",""
"passed","Thu Apr 06 17:07:45 GMT 2023","Thu Apr 06 17:07:46 GMT 2023","1008","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_multi_page_list",""
"broken","Thu Apr 06 17:07:42 GMT 2023","Thu Apr 06 17:07:44 GMT 2023","1075","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_data_listing",""
"passed","Thu Apr 06 17:07:40 GMT 2023","Thu Apr 06 17:07:41 GMT 2023","1000","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_login",""
