"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 13 13:37:22 GMT 2023","Thu Apr 13 13:37:36 GMT 2023","13806","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk törlése",""
"passed","Thu Apr 13 13:37:38 GMT 2023","Thu Apr 13 13:37:51 GMT 2023","13091","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezést követően az első oldalon lévő cikkek szerzőinek a kigyűjtése csv fájlba",""
"passed","Thu Apr 13 13:36:46 GMT 2023","Thu Apr 13 13:36:55 GMT 2023","8978","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Cikk létrehozása",""
"broken","Thu Apr 13 13:37:52 GMT 2023","Thu Apr 13 13:38:34 GMT 2023","41632","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Ismételt és sorozatos adatbevitel adatforrásból (többszöri regisztráció)",""
"passed","Thu Apr 13 13:36:27 GMT 2023","Thu Apr 13 13:36:44 GMT 2023","16227","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Több oldalas lista bejárása",""
"passed","Thu Apr 13 13:38:35 GMT 2023","Thu Apr 13 13:38:41 GMT 2023","6000","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Kijelentkezés",""
"passed","Thu Apr 13 13:36:15 GMT 2023","Thu Apr 13 13:36:26 GMT 2023","11270","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Egyik felhasználó cikkeinek kilistázása/lista bejárása",""
"passed","Thu Apr 13 13:37:09 GMT 2023","Thu Apr 13 13:37:21 GMT 2023","12146","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk hozzászólása",""
"passed","Thu Apr 13 13:36:08 GMT 2023","Thu Apr 13 13:36:13 GMT 2023","5932","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Bejelentkezés megfelelő adatokkal",""
"passed","Thu Apr 13 13:35:59 GMT 2023","Thu Apr 13 13:36:06 GMT 2023","7658","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Regisztráció megfelelő adatokkal",""
"passed","Thu Apr 13 13:35:52 GMT 2023","Thu Apr 13 13:35:57 GMT 2023","5177","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Adatkezelés elfogadása",""
"passed","Thu Apr 13 13:36:56 GMT 2023","Thu Apr 13 13:37:08 GMT 2023","11525","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","Saját cikk szövegének módosítása",""
