"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 06 16:57:05 GMT 2023","Thu Apr 06 16:57:07 GMT 2023","2460","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_registration",""
"passed","Thu Apr 06 16:57:09 GMT 2023","Thu Apr 06 16:57:10 GMT 2023","905","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_login",""
"passed","Thu Apr 06 16:57:11 GMT 2023","Thu Apr 06 16:57:22 GMT 2023","11071","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_multi_page_list",""
"passed","Thu Apr 06 16:57:04 GMT 2023","Thu Apr 06 16:57:04 GMT 2023","88","vizsgaremek_automata_teszt","test_Conduit","TestConduit","","","test_accept_cookie",""
